ID,review,cleaned_review,date,verification_status,neg_score,neu_score,pos_score,rating
12,"Once again a terrible business class experience with BA. The flight was delayed by 4.5 hours, The plane was very old with problems with at least 4 of the seats in business class not cleaned properly prior to departure. Food was terrible as always with BA and only one choice available from advertised menu. As a result of the delay we missed our connecting flight from Heathrow and instead of putting us on the next connection they chose the second last flight of the day - which was also delayed by over an hour meaning we had an additional 4 hour delay whilst at Heathrow. At no point were we advised about our compensation rights (despite asking at check in and connections) or provided any vouchers during the delays. Having flown Etihad, Qatar and Virgin business class equivalents over the last year it is clear to see how big the gulf now is between BA and its rivals.",terrible business class experience delayed hours old problems least seats business class cleaned properly prior departure food terrible always one choice available advertised menu result delay missed connecting heathrow instead putting us next connection chose second last day also delayed hour meaning additional hour delay whilst heathrow point advised compensation rights despite asking connections provided vouchers delays flown etihad qatar virgin business class equivalents last year clear see big gulf rivals,2023-12-12,Verified ,0.9028851,0.08741945,0.009695558,1
13,"BA A380's are showing their age, hopefully they will update the interiors soon because it was a let down especially when the flight lasts 11 hours. Cabin crew were good and helpful. Dinner was ok but the breakfast was grim. On board entertainment was not the latest and seat back USB points didn't work. The only upside of BA is that it is only 1 of 2 airlines who fly this route directly and their pricing reflects this, if you're prepared to lay over then there are better airlines out there.",showing age hopefully update interiors soon let especially lasts hours cabin crew good helpful dinner ok breakfast grim board entertainment latest back usb points didnt work upside airlines route directly pricing reflects youre prepared lay better airlines,2023-12-12,Verified ,0.098753676,0.3052984,0.59594786,3
14,"Credit to BA - Flew to Singapore recently and also back from Doha to London and both experiences were great. Service was fantastic as was the quality of the food, entertainment and was left feeling BA have got it together after a few previous below average experiences. You definitely notice the difference with the staff on BA - Far more approachable and outgoing compared to the cold and corporate middle eastern airline crews. Nice one BA for 2 great flights.",credit flew singapore recently also back doha experiences great service fantastic quality food entertainment left feeling got together previous average experiences definitely notice difference staff far approachable outgoing compared cold corporate middle eastern crews nice one great,2023-12-10,Verified ,0.00569817,0.029844178,0.9644577,5
15,"The check in area for premium classes at Gatwick is very nice, and there was no queue when I arrived so I was able to drop my bag very quickly. Premium security at Gatwick is fine. The flight was delayed due to NATS issues, but the member of staff on arriving at the lounge let me know of this. The lounge is nicevand it’ very comfortable. There was an excellent range of food and drinks. All the drinks you would expect. Food wise there were sandwiches, soup, pasta, salads, fruit, Spanish stew, as well as turkey and ham pies with mashed potato, roasted parsnips and carrots and gravy. It was all really good and particularly nice to see so many options. Boarding was pretty slow, although the gate crew did a good job to keep it well organised and allow priority passengers to board first. As has been well documented the onboard experience in terms of seat on ba Europe business is pretty poor, but in line with other European carriers sadly. That being said, the seat is well padded and comfortable and the adjustable headrest is quite good. The on board catering was of excellent quality. I was lucky to get my preferred option of the roast turkey, but several people sat near me weren’t as lucky. I do understand that meal options may run out but when the meal options are roast turkey with all the trimmings, vegetarian cottage pie or a chicken salad you really should be stocking enough for every passenger to get the proper meal  Or failing that, allow an order in advance service where you then only stock the meals that people want to eat. Whilst I fully support the desire to minimise waste, both food and cost, people really should really be able to get the ideal meal option. Unfortunately one of the people affected reacted very badly to this and took it out on the cabin crew which is unacceptable.. they also lost a bit of perspective about just how serious a situation it actually was! The cabin crew were  very nice, friendly and professional, if a little slow.. but not to the point of detracting from the positive experience I had. The ground service at Gran Canaria was pretty poor, priority bags clearly meant nothing. 95% of bags coming out were not priority, mine came out about halfway through bag delivery and demonstrates poor delivery of service and not  fulfilling on the service they promise to their customers. Overall though it was a very nice flight, and having paid for it using avios and £1 I cannot complain at all.",area premium classes gatwick nice queue arrived able drop bag quickly premium security gatwick fine delayed due nats issues member staff arriving lounge let know lounge nicevand comfortable excellent range food drinks drinks would expect food wise sandwiches soup pasta salads fruit spanish stew well turkey ham pies mashed potato roasted parsnips carrots gravy really good particularly nice see many options pretty slow although gate crew good job keep well organised allow priority passengers board first well documented onboard experience terms europe business pretty poor line european carriers sadly said well padded comfortable adjustable headrest quite good board catering excellent quality lucky get preferred option roast turkey several people sat near werent lucky understand meal options may run meal options roast turkey trimmings vegetarian cottage pie chicken salad really stocking enough every passenger get proper meal failing allow order advance service stock meals people want eat whilst fully support desire minimise waste food cost people really really able get ideal meal option unfortunately one people affected reacted badly took cabin crew unacceptable also lost bit perspective serious situation actually cabin crew nice friendly professional little slow point detracting positive experience ground service gran canaria pretty poor priority bags clearly meant nothing bags coming priority mine came halfway bag delivery demonstrates poor delivery service fulfilling service promise customers overall though nice paid using avios cannot complain,2023-12-10,Verified ,0.14937703,0.2781632,0.57245976,3
16,The flight took off a little late due to Heathrow congestion but still landed on schedule. Boarding was smooth and the onboard service was efficient. A small snack was served for free with a bottle of water; additional items were available for purchase. The cabin and toilets were very clean. Overall an unremarkable flight but in a good way!,took little late due heathrow congestion still landed schedule smooth onboard service efficient small snack served free bottle water additional items available purchase cabin toilets clean overall unremarkable good way,2023-12-09,Verified ,0.007822673,0.07117198,0.9210053,5
17,"BA is great in the air! But... they sell you connections thru London Heathrow Terminal 5 (their private, BA-only terminal) which you are practically not able to make. 90 minutes stopover time, European flight inbound, transatlantic flight outbound, you arrive at the terminal gate ON TIME and... book, security! Endless line, slow process. Your boarding starts and you are nowhere near the X ray, and then.... it is a train ride withing the same terminal (but different, distant buildings). Almost impossible to make. Lots of stress.",great air sell connections thru heathrow terminal private baonly terminal practically able make minutes stopover time european inbound transatlantic outbound arrive terminal gate time book security endless line slow process starts nowhere near x ray train ride withing terminal different distant buildings almost impossible make lots stress,2023-12-06,Verified ,0.51001203,0.34329784,0.14669015,2
18,"I had broken my leg 2 days before our return flight from Lisbon to London. I called to get some assistance from British Airways, hoping for wheelchair assistance, an easier seat to get to, or possibly an upgrade so that I could stretch out my broken leg, which was in a cast. This airline failed on all fronts. Quoted us a price of €6,000 each (I was traveling with my husband), which we could not do. Almost didn't let me on the plane, trying to interpret my medical report. They did not attempt to change our seats, which were near the back. The single concession they made was to allow me to board 1st, but did not offer a wheelchair, so I had to swing myself down the aisle to my seat using the arm rests of all 21 rows before my seat, as the aisles are not wide enough for crutches. Might I add, I am nearly 70. Had to exit same way. No wheelchair waiting for me at Heathrow, had to hop onto bus with crutches to change terminals and nearly took a tumble doing so. Took so long to get a wheelchair that they had to hold my connecting flight (on another airline) for me and we were last to board. That flight had allowed us to upgrade to business class, for a reasonable price, and took great care of me.",broken leg days return lisbon called get assistance hoping wheelchair assistance easier get possibly upgrade could stretch broken leg cast failed fronts quoted us price traveling husband could almost didnt let trying interpret medical report attempt change seats near back single concession made allow board st offer wheelchair swing aisle using arm rests rows aisles wide enough crutches might add nearly exit way wheelchair waiting heathrow hop onto bus crutches change terminals nearly took tumble took long get wheelchair hold connecting another last board allowed us upgrade business class reasonable price took great care,2023-12-05,Verified ,0.5662014,0.34708086,0.08671775,1
19,Check in at MIA straightforward. BA use American flagship lounge near gate D30 which is excellent. Flight delayed but only by 1 hours. Boarding chaotic. On board staff were fine. Seat was fine too but product ageing. Post take off service prompt. Slept for 6 hours. I noticed that in club world BA have ditched rose champagne which is a shame. Pre arrival breakfast was ok. Slow to deplane. Luggage off ok.,mia straightforward use american flagship lounge near gate excellent delayed hours chaotic board staff fine fine product ageing post take service prompt slept hours noticed club world ditched rose champagne shame pre arrival breakfast ok slow deplane luggage ok,2023-12-04,Verified ,0.072047666,0.31457257,0.6133797,3
20,"Never I saw such a terrible customer experience. The plane landed already 30 minutes late: despite any operational delays, the boarding took over 1 hour because the crew did not know where to place the luggages. After this long 1 hour boarding process, the captain did not apologise.  This is extremely frustrating when this occurs on a night flight, forcing passengers to lose train connections to home.",never saw terrible customer experience landed already minutes late despite operational delays took hour crew know place luggages long hour process captain apologise extremely frustrating occurs night forcing passengers lose train connections home,2023-12-03,Verified ,0.96338695,0.032815218,0.0037976608,1
21,"Having not flown with BA for a few years, I read some of the reviews in preparation, needless to say I boarded this flight with low expectations. I was pleasantly surprised as the flight was ok. We left LHR a few minutes early and arrived at JNB ahead of schedule. Cabin crew, although not as good as some carriers were attentive and professional. Onboard catering was a disappointment as if you were unlucky to miss out on the chicken you were given a very sloppy pasta. On board entertainment has never been BA's strong point and sadly that hasn't changed. Unfortunately BA is not the prestigious carrier it once was but its not as bad (from my experience) as some reviews suggest.",flown years read reviews preparation needless say boarded low expectations pleasantly surprised ok left lhr minutes early arrived jnb ahead schedule cabin crew although good carriers attentive professional onboard catering disappointment unlucky miss chicken given sloppy pasta board entertainment never bas strong point sadly hasnt changed unfortunately prestigious carrier bad experience reviews suggest,2023-11-30,Verified ,0.34626842,0.39003322,0.26369837,2
22,"Dear Community I feel compelled to share the utter frustration and disappointment that defined my recent travel experience with British Airways. Buckle up, folks; this one's a rollercoaster. On July 16 and 17, 2023, I had the displeasure of flying with British Airways on BA709 and BA7, and let me tell you, it was a nightmare. The initial flight from Zurich (ZRH) to London (LHR) on BA709 faced a seemingly unavoidable one-hour delay upon arrival at LHR. This, of course, resulted in me missing my connection to Tokyo, triggering an automatic rescheduling of my flight to Tokyo (HND) via Beijing with Air China. Oh, but the fun didn't stop there — flight CA183 was also delayed, turning my 16-hour delay into a grand total of 23 hours, finally arriving in Tokyo at 23:00 instead of the promised 7:10. And the cherry on top? My four checked-in suitcases decided to take a detour and didn't join me in Tokyo, forcing me to waste an additional two hours filling out forms at the baggage center. I finally got my lost luggage back on July 23, because why make it easy, right? But wait, there's more! My return flight from Tokyo to Zurich (BA8) on August 8 also danced to the delay tune, making me question if punctuality is just a myth for British Airways. The cumulative impact of these delays torpedoed my vacation plans, stealing a whole day of scheduled activities, including a guided Tokyo tour. As if that weren't enough, I had to dig deeper into my pockets for unforeseen expenses—extra airport transfers, tour operator assistance fees, emergency purchases, airport meals, and international calls for rearrangements. The lack of assistance at LHR airport was the icing on this bitter cake. Installing the BA app just to get basic information about alternative connection flights was a hassle, and the fact that no BA clerk could provide this info in person was downright infuriating. British Airways, you've left me with a sour taste in my mouth and a dent in my wallet. Here's hoping you take this feedback seriously and step up your game because right now, it's not a good look. Frustrated and fed up, Bert",dear community feel compelled share utter frustration disappointment defined recent travel experience buckle folks ones rollercoaster july displeasure let tell nightmare initial zurich zrh lhr faced seemingly unavoidable onehour delay upon arrival lhr course resulted missing connection tokyo triggering automatic rescheduling tokyo hnd via beijing air china oh fun didnt stop ca also delayed turning hour delay grand total hours finally arriving tokyo instead promised cherry top four checkedin suitcases decided take detour didnt join tokyo forcing waste additional two hours filling forms baggage center finally got lost luggage back july make easy right wait theres return tokyo zurich august also danced delay tune making question punctuality myth cumulative impact delays torpedoed vacation plans stealing whole day scheduled activities including guided tokyo tour werent enough dig deeper pockets unforeseen expensesextra airport transfers tour operator assistance fees emergency purchases airport meals international calls rearrangements lack assistance lhr airport icing bitter cake installing app get basic information alternative connection hassle fact clerk could provide info person downright infuriating youve left sour taste mouth dent wallet heres hoping take feedback seriously step game right good look frustrated fed bert,2023-11-26,Verified ,0.82359165,0.15107337,0.025335118,1
23,Quick bag drop at First Wing but too many passengers so had to use fast track security in main terminal. Direct entry to Concorde room outside security south. Ate excellent breakfast which was served promptly. Concorde room is a nice place to wait for a flight there is some interesting memorabilia and an excellent bar. Boarding from c gates was disorganised and slow. On board cabin crew excellent. Good choice of beverages and these were of high quality. Food was good. Seat comfortable. No first bedding provided. On time arrival into Miami. Baggage took 1 hour to arrive,quick bag drop first wing many passengers use fast track security main terminal direct entry concorde room outside security south ate excellent breakfast served promptly concorde room nice place wait interesting memorabilia excellent bar c gates disorganised slow board cabin crew excellent good choice beverages high quality food good comfortable first bedding provided time arrival miami baggage took hour arrive,2023-11-23,Verified ,0.015219848,0.09943073,0.8853495,5
24,"4 Hours before takeoff we received a Mail stating a cryptic message that there are disruptions to be expected as there is a limit on how many planes can leave at the same time. So did the capacity of the Heathrow Airport really hit British Airways by surprise, 4h before departure? Anyhow - we took the one hour delay so what - but then we have been forced to check in our Hand luggage. I travel only with hand luggage to avoid waiting for the ultra slow processing of the checked in luggage. Overall 2h later at home than planed, with really no reason, just due to incompetent people. Service level far worse then Ryanair and triple the price. Really never again. Thanks for nothing.",hours takeoff received mail stating cryptic message disruptions expected limit many planes leave time capacity heathrow airport really hit surprise h departure anyhow took one hour delay forced hand luggage travel hand luggage avoid waiting ultra slow processing checked luggage overall h later home planed really reason due incompetent people service level far worse ryanair triple price really never thanks nothing,2023-11-19,Verified ,0.8934981,0.095174804,0.011327194,1
25,"I recently had a delay on British Airways from BRU to LHR that was due to staff shortages. They announced that there was a 2 hour holding delay but they would board us immediately in hopes of clearing the gate and leaving early. We had to wait the full 2 hours inside the airplane. The plane was old, dirty, had no power at the seats. The staff provided a small bag of pretzels and 250ml of water to the passengers for 2 hour delay and 2 hour flight. There were no options to purchase food or drink. There were no entertainment options available. I am a OneWorld emerald elite member but they do not upgrade members based on status. First class lounges at Heathrow are overcrowded, understaffed and poorly equipped. The help desk is completely unhelpful when an error arises with delays and cancellations - even when having the top status. The Avios points system has been devalued to near worthlessness and requires fees to book reward that nearly equal the price of the revenue ticket. British has lost its way in recent years and has a moved from a world-class airline to a budget airline with much worse service and timeliness than Ryanair or EasyJet.",recently delay bru lhr due staff shortages announced hour holding delay would board us immediately hopes clearing gate leaving early wait full hours inside airplane old dirty power seats staff provided small bag pretzels ml water passengers hour delay hour options purchase food drink entertainment options available oneworld emerald elite member upgrade members based status first class lounges heathrow overcrowded understaffed poorly equipped help desk completely unhelpful error arises delays cancellations even top status avios points system devalued near worthlessness requires fees book reward nearly equal price revenue ticket lost way recent years moved worldclass budget much worse service timeliness ryanair easyjet,2023-11-19,Verified ,0.91292685,0.07836427,0.0087088635,1
26,"Boarded on time, but it took ages to get to the runway due to congestion. Flight was smooth and quick. Snack and drinks were good for a short flight. Landed only about ten minutes late. One bag of three left in London, forms quickly filled in, and the bag was delivered the next morning.",boarded time took ages get runway due congestion smooth quick snack drinks good short landed ten minutes late one bag three left forms quickly filled bag delivered next morning,2023-11-16,Not Verified,0.033574853,0.24359573,0.72282934,4
